NO,NO2,NOx,NH3,CO,SO2
1.74,19.29,11.72,6.98,0.59,17.83
1.15,37,20.6,5.35,0.78,23.6
1.82,19.59,12.05,6.69,0.78,23.1
1.99,21.47,13.17,4.15,0.5,25.09
1.7,19.98,12.12,6.69,0.7,24.2
1.93,20.32,12.54,4.91,0.53,21.47
2,21.71,13.26,5.96,0.67,24.72
0.8,17.33,9.84,4.32,0.47,17.09
0.91,18.93,10.8,4.17,0.53,23.95
1.83,19.42,11.91,4.01,0.61,21.27
1.86,20.68,12.51,3.36,0.49,16.73
2.18,18.38,11.7,3.7,0.79,27.47
